央视频道,#genre#
CCTV1,http://119.125.134.251:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://119.125.134.181:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://119.125.134.251:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://119.125.134.181:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://119.125.134.251:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://119.125.134.181:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://119.125.134.251:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://119.125.134.181:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.125.134.181:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://119.125.134.251:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.125.134.181:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://119.125.134.251:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://119.125.134.251:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://119.125.134.181:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://119.125.134.251:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://119.125.134.251:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://119.125.134.181:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://119.125.134.251:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://119.125.134.181:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://119.125.134.251:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://119.125.134.181:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
